,District code,District name,Overall 2020-2021 attendance rate - year to date,Overall 2019-2020 attendance rate,Reporting period,Update date
0,10011,Andover School District,0.97,0.95,June 2021,08/06/2021
1,20011,Ansonia School District,0.89,0.94,June 2021,08/06/2021
2,30011,Ashford School District,0.95,0.96,June 2021,08/06/2021
3,40011,Avon School District,0.96,0.96,June 2021,08/06/2021
4,50011,Barkhamsted School District,0.97,0.96,June 2021,08/06/2021
5,70011,Berlin School District,0.95,0.96,June 2021,08/06/2021
6,80011,Bethany School District,0.96,0.96,June 2021,08/06/2021
7,90011,Bethel School District,0.95,0.96,June 2021,08/06/2021
8,110011,Bloomfield School District,0.93,0.95,June 2021,08/06/2021
9,120011,Bolton School District,0.95,0.95,June 2021,08/06/2021
10,130011,Bozrah School District,0.96,0.96,June 2021,08/06/2021
11,140011,Branford School District,0.95,0.97,June 2021,08/06/2021
12,150011,Bridgeport School District,0.9,0.94,June 2021,08/06/2021
13,170011,Bristol School District,0.91,0.95,June 2021,08/06/2021
14,180011,Brookfield School District,0.96,0.97,June 2021,08/06/2021
15,190011,Brooklyn School District,0.93,0.95,June 2021,08/06/2021
16,210011,Canaan School District,0.97,0.96,June 2021,08/06/2021
17,220011,Canterbury School District,0.96,0.96,June 2021,08/06/2021
18,230011,Canton School District,0.95,0.95,June 2021,08/06/2021
19,240011,Chaplin School District,0.95,0.97,June 2021,08/06/2021
20,250011,Cheshire School District,0.97,0.96,June 2021,08/06/2021
21,260011,Chester School District,0.97,0.97,June 2021,08/06/2021
22,270011,Clinton School District,0.95,0.95,June 2021,08/06/2021
23,280011,Colchester School District,0.95,0.95,June 2021,08/06/2021
24,290011,Colebrook School District,0.96,0.97,June 2021,08/06/2021
25,300011,Columbia School District,0.95,0.96,June 2021,08/06/2021
26,310011,Cornwall School District,0.97,0.96,June 2021,08/06/2021
27,320011,Coventry School District,0.95,0.94,June 2021,08/06/2021
28,330011,Cromwell School District,0.96,0.97,June 2021,08/06/2021
29,340011,Danbury School District,0.92,0.95,June 2021,08/06/2021
30,350011,Darien School District,0.97,0.96,June 2021,08/06/2021
31,360011,Deep River School District,0.98,0.96,June 2021,08/06/2021
32,370011,Derby School District,0.91,0.94,June 2021,08/06/2021
33,390011,Eastford School District,0.95,0.96,June 2021,08/06/2021
34,400011,East Granby School District,0.92,0.96,June 2021,08/06/2021
35,410011,East Haddam School District,0.97,0.96,June 2021,08/06/2021
36,420011,East Hampton School District,0.96,0.96,June 2021,08/06/2021
37,430011,East Hartford School District,0.91,0.94,June 2021,08/06/2021
38,440011,East Haven School District,0.92,0.95,June 2021,08/06/2021
39,450011,East Lyme School District,0.95,0.96,June 2021,08/06/2021
40,460011,Easton School District,0.97,0.96,June 2021,08/06/2021
41,470011,East Windsor School District,0.88,0.94,June 2021,08/06/2021
42,480011,Ellington School District,0.95,0.96,June 2021,08/06/2021
43,490011,Enfield School District,0.97,0.94,June 2021,08/06/2021
44,500011,Essex School District,0.98,0.96,June 2021,08/06/2021
45,510011,Fairfield School District,0.94,0.95,June 2021,08/06/2021
46,520011,Farmington School District,0.96,0.96,June 2021,08/06/2021
47,530011,Franklin School District,0.97,0.96,June 2021,08/06/2021
48,540011,Glastonbury School District,0.97,0.96,June 2021,08/06/2021
49,560011,Granby School District,0.97,0.96,June 2021,08/06/2021
50,570011,Greenwich School District,0.96,1.0,June 2021,08/06/2021
51,580011,Griswold School District,0.94,0.95,June 2021,08/06/2021
52,590011,Groton School District,0.87,0.94,June 2021,08/06/2021
53,600011,Guilford School District,0.97,0.96,June 2021,08/06/2021
54,620011,Hamden School District,0.89,0.94,June 2021,08/06/2021
55,630011,Hampton School District,0.94,0.95,June 2021,08/06/2021
56,640011,Hartford School District,0.83,0.91,June 2021,08/06/2021
57,650011,Hartland School District,0.91,0.95,June 2021,08/06/2021
58,670011,Hebron School District,0.97,0.96,June 2021,08/06/2021
59,680011,Kent School District,0.97,0.96,June 2021,08/06/2021
60,690011,Killingly School District,0.89,0.94,June 2021,08/06/2021
61,710011,Lebanon School District,0.96,0.95,June 2021,08/06/2021
62,720011,Ledyard School District,0.84,0.95,June 2021,08/06/2021
63,730011,Lisbon School District,0.95,0.96,June 2021,08/06/2021
64,740011,Litchfield School District,0.95,0.96,June 2021,08/06/2021
65,760011,Madison School District,0.97,0.96,June 2021,08/06/2021
66,770011,Manchester School District,0.89,0.93,June 2021,08/06/2021
67,780011,Mansfield School District,0.96,0.96,June 2021,08/06/2021
68,790011,Marlborough School District,0.95,0.96,June 2021,08/06/2021
69,800011,Meriden School District,0.93,0.95,June 2021,08/06/2021
70,830011,Middletown School District,0.92,0.94,June 2021,08/06/2021
71,840011,Milford School District,0.94,0.95,June 2021,08/06/2021
72,850011,Monroe School District,0.98,0.96,June 2021,08/06/2021
73,860011,Montville School District,0.92,0.96,June 2021,08/06/2021
74,880011,Naugatuck School District,0.91,0.94,June 2021,08/06/2021
75,890011,New Britain School District,0.87,0.93,June 2021,08/06/2021
76,900011,New Canaan School District,0.98,0.96,June 2021,08/06/2021
77,910011,New Fairfield School District,0.96,0.95,June 2021,08/06/2021
78,920011,New Hartford School District,0.97,0.96,June 2021,08/06/2021
79,930011,New Haven School District,0.83,0.93,June 2021,08/06/2021
80,940011,Newington School District,0.96,0.96,June 2021,08/06/2021
81,950011,New London School District,0.87,0.94,June 2021,08/06/2021
82,960011,New Milford School District,0.93,0.96,June 2021,08/06/2021
83,970011,Newtown School District,0.97,0.96,June 2021,08/06/2021
84,980011,Norfolk School District,0.95,0.96,June 2021,08/06/2021
85,990011,North Branford School District,0.95,0.95,June 2021,08/06/2021
86,1000011,North Canaan School District,0.96,0.95,June 2021,08/06/2021
87,1010011,North Haven School District,0.97,0.95,June 2021,08/06/2021
88,1020011,North Stonington School District,0.94,0.95,June 2021,08/06/2021
89,1030011,Norwalk School District,0.92,0.95,June 2021,08/06/2021
90,1040011,Norwich School District,0.93,0.95,June 2021,08/06/2021
91,1060011,Old Saybrook School District,0.98,0.94,June 2021,08/06/2021
92,1070011,Orange School District,0.96,0.96,June 2021,08/06/2021
93,1080011,Oxford School District,0.95,0.95,June 2021,08/06/2021
94,1090011,Plainfield School District,0.91,0.94,June 2021,08/06/2021
95,1100011,Plainville School District,0.93,0.95,June 2021,08/06/2021
96,1110011,Plymouth School District,0.9,0.94,June 2021,08/06/2021
97,1120011,Pomfret School District,0.98,0.96,June 2021,08/06/2021
98,1130011,Portland School District,0.94,0.95,June 2021,08/06/2021
99,1140011,Preston School District,0.95,0.95,June 2021,08/06/2021
100,1160011,Putnam School District,0.9,0.94,June 2021,08/06/2021
101,1170011,Redding School District,0.97,0.96,June 2021,08/06/2021
102,1180011,Ridgefield School District,0.98,0.95,June 2021,08/06/2021
103,1190011,Rocky Hill School District,0.96,0.96,June 2021,08/06/2021
104,1210011,Salem School District,0.96,0.96,June 2021,08/06/2021
105,1220011,Salisbury School District,0.97,0.95,June 2021,08/06/2021
106,1230011,Scotland School District,0.95,0.97,June 2021,08/06/2021
107,1240011,Seymour School District,0.95,0.95,June 2021,08/06/2021
108,1250011,Sharon School District,0.96,0.96,June 2021,08/06/2021
109,1260011,Shelton School District,0.95,0.95,June 2021,08/06/2021
110,1270011,Sherman School District,0.96,0.95,June 2021,08/06/2021
111,1280011,Simsbury School District,0.97,0.96,June 2021,08/06/2021
112,1290011,Somers School District,0.96,0.96,June 2021,08/06/2021
113,1310011,Southington School District,0.95,0.95,June 2021,08/06/2021
114,1320011,South Windsor School District,0.98,0.96,June 2021,08/06/2021
115,1330011,Sprague School District,0.91,0.94,June 2021,08/06/2021
116,1340011,Stafford School District,0.95,0.95,June 2021,08/06/2021
117,1350011,Stamford School District,0.94,0.95,June 2021,08/06/2021
118,1360011,Sterling School District,0.91,0.94,June 2021,08/06/2021
119,1370011,Stonington School District,0.92,0.95,June 2021,08/06/2021
120,1380011,Stratford School District,0.92,0.94,June 2021,08/06/2021
121,1390011,Suffield School District,0.95,0.95,June 2021,08/06/2021
122,1400011,Thomaston School District,0.93,0.96,June 2021,08/06/2021
123,1410011,Thompson School District,0.9,0.93,June 2021,08/06/2021
124,1420011,Tolland School District,0.97,0.96,June 2021,08/06/2021
125,1430011,Torrington School District,0.9,0.95,June 2021,08/06/2021
126,1440011,Trumbull School District,0.97,0.96,June 2021,08/06/2021
127,1450011,Union School District,0.98,0.96,June 2021,08/06/2021
128,1460011,Vernon School District,0.94,0.95,June 2021,08/06/2021
129,1470011,Voluntown School District,0.94,0.95,June 2021,08/06/2021
130,1480011,Wallingford School District,0.95,0.95,June 2021,08/06/2021
131,1510011,Waterbury School District,0.9,0.93,June 2021,08/06/2021
132,1520011,Waterford School District,0.95,0.95,June 2021,08/06/2021
133,1530011,Watertown School District,0.95,0.95,June 2021,08/06/2021
134,1540011,Westbrook School District,0.97,0.95,June 2021,08/06/2021
135,1550011,West Hartford School District,0.96,0.95,June 2021,08/06/2021
136,1560011,West Haven School District,0.92,0.94,June 2021,08/06/2021
137,1570011,Weston School District,0.97,0.96,June 2021,08/06/2021
138,1580011,Westport School District,0.96,0.96,June 2021,08/06/2021
139,1590011,Wethersfield School District,0.97,0.96,June 2021,08/06/2021
140,1600011,Willington School District,0.91,0.95,June 2021,08/06/2021
141,1610011,Wilton School District,0.97,0.97,June 2021,08/06/2021
142,1620011,Winchester School District,0.93,0.94,June 2021,08/06/2021
143,1630011,Windham School District,0.87,0.94,June 2021,08/06/2021
144,1640011,Windsor School District,0.92,0.95,June 2021,08/06/2021
