District code,District name,Overall 2020-2021 attendance rate - year to date,Overall 2019-2020 attendance rate,High needs student 2020-2021 attendance rate - year to date,High needs student 2019-2020 attendance rate,Reporting period,Update date
0010011,Andover School District,0.97,0.95,0.95,0.94,June 2021,08/06/2021
0020011,Ansonia School District,0.89,0.94,0.87,0.94,June 2021,08/06/2021
0030011,Ashford School District,0.95,0.96,0.94,0.95,June 2021,08/06/2021
0040011,Avon School District,0.96,0.96,0.93,0.94,June 2021,08/06/2021
0050011,Barkhamsted School District,0.97,0.96,0.96,0.95,June 2021,08/06/2021
0070011,Berlin School District,0.95,0.96,0.93,0.94,June 2021,08/06/2021
0080011,Bethany School District,0.96,0.96,0.94,0.95,June 2021,08/06/2021
0090011,Bethel School District,0.95,0.96,0.93,0.95,June 2021,08/06/2021
0110011,Bloomfield School District,0.93,0.95,0.92,0.95,June 2021,08/06/2021
0120011,Bolton School District,0.95,0.95,0.89,0.93,June 2021,08/06/2021
0130011,Bozrah School District,0.96,0.96,0.95,0.95,June 2021,08/06/2021
0140011,Branford School District,0.95,0.97,0.93,0.96,June 2021,08/06/2021
0150011,Bridgeport School District,0.90,0.94,0.89,0.93,June 2021,08/06/2021
0170011,Bristol School District,0.91,0.95,0.88,0.94,June 2021,08/06/2021
0180011,Brookfield School District,0.96,0.97,0.94,0.97,June 2021,08/06/2021
0190011,Brooklyn School District,0.93,0.95,0.90,0.94,June 2021,08/06/2021
0210011,Canaan School District,0.97,0.96,0.96,0.96,June 2021,08/06/2021
0220011,Canterbury School District,0.96,0.96,0.95,0.95,June 2021,08/06/2021
0230011,Canton School District,0.95,0.95,0.93,0.94,June 2021,08/06/2021
0240011,Chaplin School District,0.95,0.97,0.94,0.96,June 2021,08/06/2021
0250011,Cheshire School District,0.97,0.96,0.95,0.94,June 2021,08/06/2021
0260011,Chester School District,0.97,0.97,0.96,0.96,June 2021,08/06/2021
0270011,Clinton School District,0.95,0.95,0.94,0.94,June 2021,08/06/2021
0280011,Colchester School District,0.95,0.95,0.92,0.93,June 2021,08/06/2021
0290011,Colebrook School District,0.96,0.97,0.96,0.97,June 2021,08/06/2021
0300011,Columbia School District,0.95,0.96,0.93,0.95,June 2021,08/06/2021
0310011,Cornwall School District,0.97,0.96,0.97,0.95,June 2021,08/06/2021
0320011,Coventry School District,0.95,0.94,0.92,0.93,June 2021,08/06/2021
0330011,Cromwell School District,0.96,0.97,0.93,0.97,June 2021,08/06/2021
0340011,Danbury School District,0.92,0.95,0.91,0.94,June 2021,08/06/2021
0350011,Darien School District,0.97,0.96,0.97,0.96,June 2021,08/06/2021
0360011,Deep River School District,0.98,0.96,0.97,0.96,June 2021,08/06/2021
0370011,Derby School District,0.91,0.94,0.90,0.94,June 2021,08/06/2021
0390011,Eastford School District,0.95,0.96,0.93,0.95,June 2021,08/06/2021
0400011,East Granby School District,0.92,0.96,0.87,0.95,June 2021,08/06/2021
0410011,East Haddam School District,0.97,0.96,0.95,0.95,June 2021,08/06/2021
0420011,East Hampton School District,0.96,0.96,0.94,0.94,June 2021,08/06/2021
0430011,East Hartford School District,0.91,0.94,0.89,0.93,June 2021,08/06/2021
0440011,East Haven School District,0.92,0.95,0.91,0.95,June 2021,08/06/2021
0450011,East Lyme School District,0.95,0.96,0.93,0.95,June 2021,08/06/2021
0460011,Easton School District,0.97,0.96,0.96,0.95,June 2021,08/06/2021
0470011,East Windsor School District,0.88,0.94,0.84,0.93,June 2021,08/06/2021
0480011,Ellington School District,0.95,0.96,0.93,0.94,June 2021,08/06/2021
0490011,Enfield School District,0.97,0.94,0.95,0.93,June 2021,08/06/2021
0500011,Essex School District,0.98,0.96,0.98,0.97,June 2021,08/06/2021
0510011,Fairfield School District,0.94,0.95,0.91,0.95,June 2021,08/06/2021
0520011,Farmington School District,0.96,0.96,0.93,0.95,June 2021,08/06/2021
0530011,Franklin School District,0.97,0.96,0.95,0.95,June 2021,08/06/2021
0540011,Glastonbury School District,0.97,0.96,0.96,0.95,June 2021,08/06/2021
